id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,wagegap_wlimit,wagegap2,wagegap_controlled,wagegap_controlled_wlimit,tenure_dif,manag_av
0,3834,,,,,,,,,,,,,,,,,
0.14,41,19,22,,50876.738,85876.438,2.7894738,5.9545455,0,,,1,1,1,1,1,1,0
0.15,302,143,159,,99959.57,135122.02,7.090909,14.584906,0,,,1,1,1,1,1,1,0
0.16,11,4,7,,134887,142632.38,14.75,17,1,,,1,1,1,,,1,
0.16.15,8,4,4,58971.289,144495.13,260768.13,21.5,20.5,0,0,1,1,1,1,1,1,0,0
0.17,19,3,16,,267285.16,183446.2,37,21.9375,1,,,0,0,0,0,0,0,
0.17.15,7,1,6,48080.609,540527.69,480293.16,9,15.166667,1,0,1,0,,0,0,,1,1
0.17.24,4,1,3,99901.602,352516,190359.55,6,7.3333335,1,0,1,0,,0,0,,1,
0.21,21,10,11,,219644.48,97072.219,19.6,10.363636,0,,,0,0,0,0,0,0,
0.21.15,9,7,2,202701.28,624040.06,255500,23.142857,3.5,2,1,1,0,0,0,0,0,0,1
0.22,6,2,4,,47721.793,119457.39,8,9.75,1,,,1,1,1,1,1,1,
0.23,10,4,6,,104616.5,136239.42,8.75,9.5,1,,,1,1,1,1,1,1,
0.24,51,14,37,,77787.906,113928.77,9.6428576,15.621622,1,,,1,1,1,1,1,1,
0.24.15,12,2,10,353404.66,80304.5,343898.06,4.5,15.2,1,1,1,1,1,1,1,1,1,1
0.24.16,4,0,4,979832.38,,213589.47,,10,1,1,1,,,,,,,
0.24.17,4,0,4,998838.06,,339311.69,,30.25,1,1,1,,,,,,,
0.24.17.15,4,0,4,128559.84,,585639.63,,24.75,1,0,1,,,,,,,1
0.24.32,4,3,1,49320.32,70519.336,128974,8,3,2,0,1,1,,1,1,,0,
0.24.34,5,2,3,115373.99,131022.25,77265.227,11,12.333333,1,0,1,0,0,0,0,0,1,
0.24.48,8,1,7,84715.484,20935,71598.766,2,10,1,0,1,1,,1,1,,1,
0.26,4,2,2,,105530.09,120489.96,14.5,51.5,0,,,1,1,1,0,0,1,
0.27,7,6,1,,100036.88,66445.93,24.166666,44,2,,,0,,0,0,,1,
0.28,12,8,4,,87712.617,69082.195,13.5,6.75,2,,,0,0,0,0,0,0,
0.28.34,5,3,2,259942.53,80939.617,124129.72,50,28,0,1,1,1,1,1,1,1,0,
0.28.34.15,4,2,2,36776.563,264835.84,202950.58,30,4.5,0,0,1,0,0,0,1,1,0,0
0.29,147,86,61,,91128.367,84471.859,18.325581,14.491803,0,,,0,0,0,1,1,0,
0.29.15,34,19,15,93302.617,213926.91,220493.55,14.157895,15.266666,0,0,1,1,1,0,1,1,1,0
0.29.21,10,4,6,539626.06,211498.28,176146.5,13.25,18,1,1,1,0,0,0,0,0,1,
0.29.21.15,4,2,2,76756.602,462641.47,604212.13,15,12,0,0,1,1,1,1,1,1,0,1
0.29.31,5,3,2,61206.738,73191.328,63834.5,12.333333,1,0,0,1,0,0,0,0,0,0,
0.29.32,11,11,0,56636.109,112529.73,,14,,2,0,1,,,,,,,
0.29.32.29,4,4,0,599042.75,212626.75,,37.5,,2,1,1,,,,,,,
0.29.33,22,15,7,101831.28,109197.76,112980.92,21.933332,14.142858,2,0,1,1,1,0,1,1,0,
0.29.33.15,10,6,4,37179.926,218505.84,152336.09,18.5,29.25,0,0,1,0,0,0,0,0,1,0
0.29.33.34,5,4,1,-47483.805,84949.875,55894,10.25,1,2,0,0,0,,0,0,,0,
0.29.33.34.15,4,3,1,310646.69,129683.48,141755,13,2,2,1,1,1,,1,1,,0,0
0.29.34,28,18,10,228082.39,96468.938,95064.93,15.722222,21.1,2,1,1,0,0,0,0,0,1,
0.29.34.15,14,10,4,74995.336,215181,263697.75,12.7,5,2,0,1,1,1,1,1,1,0,0
0.29.48,11,7,4,148192.05,65923.82,53228.695,11,8.25,2,0,1,0,0,0,0,0,0,
0.29.48.34,6,4,2,399961.44,140716.84,127026.38,28.5,21,2,1,1,0,0,0,0,0,0,
0.29.48.34.15,4,3,1,40465.328,311350.25,177966.25,16,12,2,0,1,0,,0,1,,0,1
0.30,14,4,10,,64027.016,48620.137,19.5,10.2,1,,,0,0,0,0,0,0,
0.31,45,22,23,,69415.281,76483.609,14.318182,12.086957,0,,,1,1,1,1,1,0,
0.31.15,8,3,5,35513.559,233242.48,155635.58,35.666668,31.6,1,0,1,0,0,0,0,0,0,0
0.31.29,5,3,2,497693.66,215252.63,173381.69,27.666666,21,0,1,1,0,0,0,0,0,0,
0.31.34,9,6,3,88171.633,76099.313,136836.33,17.5,22.333334,2,0,1,1,1,1,1,1,1,
0.31.34.15,6,3,3,109281.12,125423.59,193966.94,6.3333335,10.666667,0,0,1,1,1,1,1,1,1,0
0.31.48,8,3,5,129841.97,91454.234,90031.563,12.333333,3.5999999,1,0,1,0,0,0,0,0,0,
0.31.48.15,5,2,3,63779.523,161577.63,120880.64,13,10.333333,1,0,1,0,0,0,1,1,0,0
0.32,144,92,52,,69933.875,80336.781,9.086957,11.538462,2,,,1,1,1,1,1,1,
0.32.15,29,15,14,204348.17,122812.59,192710.44,22.733334,25.428572,0,1,1,1,1,1,1,1,1,0
0.32.21,4,2,2,375820.94,261026.59,98500,25,3,0,1,1,0,0,0,0,0,0,
0.32.26,5,4,1,15542.762,102199.5,30788.889,3.5,9,2,0,1,0,,0,,,1,
0.32.29,15,13,2,509936.09,166499.48,186559.41,21.307692,18.5,2,1,1,1,1,1,0,0,0,
0.32.29.15,8,7,1,227326.41,329783.56,172000,7.2857141,1,2,1,1,0,,0,0,,0,1
0.32.31,12,9,3,473761.78,146801.3,221322.47,19.777779,40,2,1,1,1,1,1,1,1,1,
0.32.33,7,3,4,136375.38,134370.94,122955.5,43,10.25,0,0,1,0,0,0,0,0,0,
0.32.34,29,25,4,274766.34,107978.49,106842.22,20.040001,9,2,1,1,0,0,0,1,1,0,
0.32.34.15,15,15,0,260897.83,276717.53,,16.799999,,2,1,1,,,,,,,1
0.32.34.48,5,3,2,15526.754,54470,123006.56,1.3333334,39,0,0,1,1,1,1,1,1,1,
0.32.35,5,3,2,365535.13,57967.668,184555.2,1.6666666,20.5,0,1,1,1,1,1,1,1,1,
0.32.48,15,9,6,28544.422,69726.68,90680.031,5.2222223,15,0,0,1,1,1,1,1,1,1,
0.32.48.15,6,2,4,248342.09,120098.7,243764.94,3,26.25,1,1,1,1,1,1,1,1,1,0
0.33,140,114,26,,80212.836,77700.625,15.666667,14.346154,2,,,0,0,0,1,1,0,
0.33.15,19,17,2,161974.56,156888.36,200317.8,7.2941175,65,2,1,1,1,1,1,1,1,1,0
0.33.24,4,3,1,371367.09,118101.41,110000,7.3333335,12,2,1,1,0,,0,1,,1,
0.33.29,12,11,1,210002.84,127578.43,32869.5,12.363636,2,2,1,1,0,,0,0,,0,
0.33.29.15,6,6,0,71972.094,206097.69,,13.666667,,2,0,1,,,,,,,0
0.33.31,4,4,0,313921.72,191987.03,,9.5,,2,1,1,,,,,,,
0.33.32,7,7,0,534804.75,104887.55,,5.2857141,,2,1,1,,,,,,,
0.33.34,69,57,12,70033,99670.883,108357.76,12.561403,14.083333,2,0,1,1,1,1,1,1,1,
0.33.34.15,36,33,3,86492,167493.11,265662.81,19.030304,26,2,0,1,1,1,1,1,1,1,0
0.33.34.29,4,3,1,22079.527,133873.48,152021.64,5,11,2,0,1,1,,1,0,,1,
0.33.34.33,12,7,5,72149.125,107883.38,106775.96,10.714286,7.4000001,0,0,1,0,0,0,1,1,0,
0.33.34.33.34,4,2,2,562679.38,136941.34,186985.69,21.5,37.5,0,1,1,1,1,1,1,1,1,
0.33.34.48,6,6,0,54288.949,99952.688,,20.666666,,2,0,1,,,,,,,
0.33.35,4,2,2,187549.47,49738.949,98682,11,12.5,0,1,1,1,1,1,1,1,1,
0.33.48,10,5,5,-18600.678,96547.898,99006.82,6,11,0,0,0,1,1,0,0,0,1,
0.33.48.15,4,2,2,263550.53,159892.88,149407.41,36,5,0,1,1,0,0,0,0,0,0,0
0.33.48.34,4,2,2,167791.22,143919.59,165560.03,59.5,17.5,0,1,1,1,1,1,0,0,0,
0.33.48.34.15,4,2,2,58454.176,234919.66,266254.72,2.5,20.5,0,0,1,1,1,1,0,0,1,0
0.34,1213,734,479,,76924.016,82880.734,23.745232,22.112736,2,,,1,1,1,1,1,0,
0.34.14,10,6,4,122002.79,136565.23,144491.23,13.166667,7.5,0,0,1,1,1,1,1,1,0,0
0.34.15,542,339,203,108550.17,159033,180638.47,14.601769,16.876848,2,0,1,1,1,1,1,1,1,0
0.34.16,27,16,11,18034.338,161357.52,137192.47,18.0625,25.727272,0,0,1,0,0,0,,,1,
0.34.16.15,24,15,9,24946.994,195298.88,186931.88,32.333332,28.222221,2,0,1,0,0,0,0,0,0,0
0.34.17,6,2,4,751228.25,183497.06,226660.75,9.5,21.75,1,1,1,1,1,1,0,0,1,
0.34.17.15,5,1,4,1292415.6,137659.98,413847.66,50,20,1,1,1,1,,1,1,,0,1
0.34.21,9,4,5,800357.25,187546.61,186760,23.75,20.799999,0,1,1,0,0,0,1,1,0,
0.34.21.15,5,2,3,67494.844,449999.5,280438.63,7,11.666667,1,0,1,0,0,0,0,0,1,1
0.34.23,6,5,1,1030939.6,206250.59,301615.22,15.4,64,2,1,1,1,,1,0,,1,
0.34.24,9,4,5,260883.28,107402.45,110158.76,12.75,10.8,0,1,1,1,1,0,0,0,0,
0.34.26,4,3,1,262863.78,105306.96,81715,3.6666667,3,2,1,1,0,,0,0,,0,
0.34.28,4,4,0,576949.44,114850.54,,9.25,,2,1,1,,,,,,,
0.34.29,79,49,30,210191.77,110893.09,123331.98,15.714286,18.333334,2,1,1,1,1,1,0,0,1,
0.34.29.15,35,18,17,76641.859,253027.72,171521.3,16.333334,8.8235292,0,0,1,0,0,0,0,0,0,0
0.34.29.33,4,4,0,22661.389,136843.77,,32,,2,0,1,,,,,,,
0.34.29.33.15,4,4,0,10621.62,164762.25,,49.75,,2,0,1,,,,,,,0
0.34.29.34,18,11,7,114512.59,105981.47,110501.87,12.909091,18.571428,2,0,1,1,1,0,0,0,1,
0.34.29.34.15,9,5,4,159548.63,232050.97,215791.03,12.2,25,0,1,1,0,0,0,0,0,1,0
0.34.29.48,4,2,2,3377.5168,81413.477,112346.27,14,11.5,0,0,1,1,1,1,1,1,0,
0.34.31,27,15,12,292764.78,113309.93,89559.188,15.2,5.75,0,1,1,0,0,0,0,0,0,
0.34.31.15,5,3,2,213365.77,364708.97,239728.17,5,4.5,0,1,1,0,0,0,0,0,0,1
0.34.31.34,6,4,2,-25260.594,85671.711,44292.477,17,8.5,2,0,0,0,0,0,0,0,0,
0.34.32,48,39,9,170668.3,92158.523,104718.34,15.179487,7.3333335,2,1,1,1,1,1,0,0,0,
0.34.32.15,15,10,5,81358.211,193357.94,75432.688,14.5,9,2,0,1,0,0,0,0,0,0,0
0.34.32.29,5,4,1,740973.06,142938.88,359048.06,6.75,19,2,1,1,1,,1,1,,1,
0.34.32.29.15,4,3,1,-306454,163434.53,139238,6.6666665,3,2,0,0,0,,0,0,,0,0
0.34.32.34,13,12,1,117435.57,95764.406,200312.28,26.25,14,2,0,1,1,,1,1,,0,
0.34.32.34.15,8,8,0,72345.008,176244.14,,8.875,,2,0,1,,,,,,,0
0.34.33,104,79,25,123778.7,102119.69,97269.609,14.56962,10,2,0,1,0,0,0,0,0,0,
0.34.33.15,33,21,12,77108.039,192067.98,149998.64,11.952381,19.75,2,0,1,0,0,0,0,0,1,0
0.34.33.29,5,3,2,-18371.283,86156.555,128684.75,7.3333335,3,0,0,0,1,1,1,1,1,0,
0.34.33.34,50,41,9,58670.465,107252.81,98266.047,31.512196,12.333333,2,0,1,0,0,0,0,0,0,
0.34.33.34.15,29,25,4,17835.354,197175.02,122661.76,15.36,12.25,2,0,1,0,0,0,1,1,0,0
0.34.33.34.33,7,5,2,169053.56,104580.08,105511.19,13,8,2,1,1,1,1,0,1,1,0,
0.34.33.34.48,8,5,3,20147.816,94604.781,109386.89,9.6000004,5.6666665,2,0,1,1,1,1,1,1,0,
0.34.33.34.48.34,4,2,2,-7719.7754,103127.38,113482.88,31,25.5,0,0,0,1,1,1,1,1,0,
0.34.33.48,6,5,1,-6577.6045,98595.211,83870,7,1,2,0,0,0,,0,0,,0,
0.34.35,28,17,11,108196.83,81229.852,77001.5,11.823529,9,2,0,1,0,0,0,1,1,0,
0.34.35.15,7,4,3,293951.69,137584.16,132085,9.25,4.3333335,0,1,1,0,0,0,1,1,0,0
0.34.35.34,9,7,2,267671.91,118407.98,75211,23,3,2,1,1,0,0,0,0,0,0,
0.34.35.34.15,6,6,0,126127.55,200333.77,,8.833333,,2,0,1,,,,,,,0
0.34.35.48,4,1,3,213675.31,26458.334,102804,9,7.3333335,1,1,1,1,,1,1,,0,
0.34.38,6,1,5,-35976.984,49361.848,73858.648,13,12.8,1,0,0,1,,1,1,,0,
0.34.40,8,3,5,246497.63,102092.5,95508.672,25,10.4,1,1,1,0,0,0,0,0,0,
0.34.40.48,4,2,2,-151869.17,68754.359,25666.5,12,2,0,0,0,0,0,0,0,0,0,
0.34.44,12,3,9,290048.28,156073.81,115247.81,20.333334,10.666667,1,1,1,0,0,0,0,0,0,
0.34.44.34,4,1,3,-60447.277,115080.38,63658.859,80,10.333333,1,0,0,0,,0,0,,0,
0.34.45,21,13,8,226361.69,100993.05,91531.164,12.846154,7.375,2,1,1,0,0,0,1,1,0,
0.34.45.34,10,7,3,153823.16,101576.64,49298.418,16.571428,2.6666667,2,0,1,0,0,0,0,0,0,
0.34.45.48,7,3,4,247028.13,111103.27,157433.97,13.666667,16.25,0,1,1,1,1,1,1,1,1,
0.34.47,7,1,6,184152.61,61732,121484.38,1,12.833333,1,1,1,1,,1,1,,1,
0.34.48,215,110,105,86226.82,83921.797,100306.88,10.554545,15.304762,0,0,1,1,1,1,1,1,1,
0.34.48.15,79,37,42,82685.359,161959.61,176291.31,13,11.238095,0,0,1,1,1,1,1,1,0,0
0.34.48.29,10,5,5,24709.754,114127.1,143377.47,31.6,19,0,0,1,1,1,1,1,1,0,
0.34.48.29.15,7,4,3,18702.645,177529.25,137314.03,24.75,17.666666,0,0,1,0,0,0,0,0,0,0
0.34.48.32,5,3,2,344602.81,169912.41,214891.94,20.666666,27,0,1,1,1,1,1,1,1,1,
0.34.48.33,10,8,2,210324.3,101277.18,90568.844,5,11.5,2,1,1,0,0,0,0,0,1,
0.34.48.33.34,4,3,1,226458.25,103246.89,94980,6.6666665,8,2,1,1,0,,0,0,,1,
0.34.48.34,79,49,30,174831.41,104139.79,106018.19,20.387754,19.433332,2,1,1,1,1,0,1,1,0,
0.34.48.34.15,49,32,17,59177.453,190768.89,186059.33,14.40625,17.411764,2,0,1,0,0,0,1,1,1,0
0.34.48.34.29,4,2,2,118771.03,115489.95,51567.898,31.5,7,0,0,1,0,0,0,0,0,0,
0.34.48.34.48,17,10,7,145710.95,92756.336,92725.219,18,8.5714283,0,0,1,0,0,0,0,0,0,
0.34.48.34.48.15,7,6,1,44164.332,155590.95,137639,10.166667,2,2,0,1,0,,0,0,,0,0
0.34.48.34.48.34,5,3,2,164174.88,93923.586,133564.61,18,45.5,0,1,1,1,1,1,1,1,1,
0.34.48.47,6,0,6,-4721.9316,,107924.05,,6.3333335,1,0,0,,,,,,,
0.34.48.50,5,1,4,-34427.777,148396.7,74275.906,10,25,1,0,0,0,,0,,,1,
0.34.48.50.15,4,1,3,-12039.351,65166.5,135990.61,2,21.666666,1,0,0,1,,1,1,,1,0
0.34.50,22,15,7,107701.27,74951.18,65861.859,8.7333336,3.1428571,2,0,1,0,0,0,,,0,
0.34.50.15,6,6,0,5140.1475,99441.102,,14.166667,,2,0,1,,,,,,,0
0.34.50.34,10,6,4,224383.14,97852.438,98855.234,10.666667,17.25,0,1,1,1,1,0,0,0,1,
0.34.50.34.15,8,4,4,93456.258,115810.31,221757.36,9.5,11.5,0,0,1,1,1,1,1,1,1,0
0.35,107,48,59,,60034.684,69934.727,6.6875,9.6779661,0,,,1,1,1,1,1,1,
0.35.15,20,8,12,658774.63,111257.22,215312.66,10.25,14.333333,1,1,1,1,1,1,1,1,1,0
0.35.29,8,4,4,473448.13,227561.91,139075.48,43,5.75,0,1,1,0,0,0,0,0,0,
0.35.32,5,3,2,190015.75,79101.75,179594.78,8.333333,13,0,1,1,1,1,1,1,1,1,
0.35.33,7,4,3,424204.91,102870.03,73954.164,16.25,14.666667,0,1,1,0,0,0,0,0,0,
0.35.34,22,14,8,239454.77,85107.523,99651.25,17.785715,16.625,2,1,1,1,1,1,1,1,0,
0.35.34.15,10,7,3,28504.533,185355.45,199040.28,12.714286,20.666666,2,0,1,1,1,1,1,1,1,0
0.35.48,15,5,10,174493.47,55910.195,87352.859,11.8,9.8999996,1,1,1,1,1,1,1,1,0,
0.35.48.15,5,1,4,7729.3975,168427.7,128054.68,10,8.25,1,0,1,0,,0,1,,0,0
0.36,57,16,41,,65221.93,72658.172,3.125,10.634147,1,,,1,1,1,1,1,1,
0.36.15,13,2,11,267406.69,76564.617,159176.53,22,23.636364,1,1,1,1,1,1,0,0,1,0
0.36.34,9,4,5,436940.38,88398.094,101981.55,32.5,17.200001,0,1,1,1,1,1,1,1,0,
0.36.34.15,5,1,4,169967.36,131641.48,162189.53,23,7.75,1,1,1,1,,1,1,,0,0
0.36.48,8,1,7,248606.11,143778.09,81735.625,11,22.285715,1,1,1,0,,0,0,,1,
0.37,8,3,5,,37304,45843.527,1,12.6,1,,,1,1,1,1,1,1,
0.38,77,23,54,,70879.563,88134.031,10.304348,24.722221,1,,,1,1,1,1,1,1,
0.38.15,18,4,14,90219.641,123832.16,183799.77,7.75,18,1,0,1,1,1,1,1,1,1,0
0.38.34,16,5,11,350139.5,127227.2,115333.5,40.599998,17.363636,1,1,1,0,0,0,0,0,0,
0.38.34.15,9,5,4,347663.97,186829.38,218454,29.200001,22.25,0,1,1,1,1,1,1,1,0,0
0.38.35,4,0,4,139474.95,,86851.531,,21,1,0,1,,,,,,,
0.38.44,4,1,3,138093.42,25894,137666.84,2,27,1,0,1,1,,1,1,,1,
0.38.48,14,4,10,165744,90174.297,72631.188,6.5,8.8000002,1,1,1,0,0,0,0,0,1,
0.38.48.34,4,3,1,-27800.031,104606,70662,34.333332,2,2,0,0,0,,0,0,,0,
0.38.48.38,5,0,5,178068.92,,108175.65,,10.2,1,1,1,,,,,,,
0.39,39,10,29,,67956.531,65101.172,13.8,16,1,,,0,0,0,1,1,1,
0.39.15,9,1,8,431611.94,93545.445,169732.13,9,8.5,1,1,1,1,,1,1,,0,0
0.39.34,8,4,4,99906.141,128765.91,105283.66,19.75,62.5,0,0,1,0,0,0,0,0,1,
0.39.34.15,7,3,4,72972.609,206504.08,210884.67,3.3333333,7.75,0,0,1,1,1,0,1,1,1,0
0.39.48,5,2,3,406462.34,114401.91,148089.31,4.5,32.666668,1,1,1,1,1,1,1,1,1,
0.40,120,22,98,,59175.191,98276.523,3.2727273,15.377551,1,,,1,1,1,1,1,1,
0.40.15,22,1,21,62785.469,47776,217625.25,1,15.095238,1,0,1,1,,1,0,,1,0
0.40.17,6,0,6,908829.31,,169150.81,,21.666666,1,1,1,,,,,,,
0.40.24,8,1,7,608286.06,66434,256467.83,2,28.857143,1,1,1,1,,1,1,,1,
0.40.29,8,3,5,654892.56,163640.2,192428.19,25.333334,21.799999,1,1,1,1,1,1,1,1,0,
0.40.34,22,11,11,345665.13,109388.71,101406.14,22.363636,25.09091,0,1,1,0,0,0,1,1,1,
0.40.34.15,9,4,5,23502.824,293632.5,162715.14,18.25,28.799999,0,0,1,0,0,0,0,0,1,0
0.40.34.48,4,1,3,123756.93,50750,86746.5,8,1.6666666,1,0,1,1,,1,1,,0,
0.40.42,4,0,4,-113261.74,,116512.11,,5.75,1,0,0,,,,,,,
0.40.44,7,1,6,203854.41,123498,101680.48,4,15.166667,1,1,1,0,,0,0,,1,
0.40.45,7,1,6,264812.5,131667,126674.06,4,19.5,1,1,1,0,,0,0,,1,
0.40.47,5,0,5,625608.81,,104374.38,,34.200001,1,1,1,,,,,,,
