id,value,relevant_wagedif_abs,relevant_wagedif_rel
0,55576,,1
0.11,70,1,1
0.12,411,1,1
0.12.35,251,0,1
0.13,160,1,1
0.15,947,1,1
0.15.29,101,1,1
0.15.34,97,0,1
0.17,1453,1,1
0.17.15,119,1,1
0.17.21,57,1,1
0.17.23,117,1,1
0.17.24,200,1,1
0.17.24.17,86,1,3
0.17.29,59,1,1
0.18,482,1,1
0.19,64,1,1
0.20,1247,1,1
0.20.32,75,0,1
0.21,1222,1,1
0.21.15,102,1,1
0.21.23,108,1,1
0.21.29,343,1,1
0.21.29.21,85,1,3
0.21.32,90,1,1
0.21.34,60,0,1
0.22,288,1,1
0.23,583,1,1
0.23.21,93,1,1
0.23.29,74,1,1
0.24,1922,1,1
0.24.15,91,1,1
0.24.17,595,1,1
0.24.17.24,118,1,2
0.24.29,117,1,1
0.24.31,58,1,1
0.24.32,98,0,1
0.24.33,58,1,1
0.24.34,89,1,1
0.24.40,72,0,1
0.24.48,98,0,1
0.26,616,1,1
0.26.18,57,1,1
0.27,199,1,1
0.28,325,1,1
0.29,3906,1,1
0.29.15,200,0,1
0.29.17,86,1,1
0.29.21,599,1,1
0.29.21.23,60,1,2
0.29.21.29,154,1,2
0.29.23,162,1,1
0.29.24,123,1,1
0.29.31,228,1,1
0.29.31.29,62,1,3
0.29.32,538,0,1
0.29.32.29,165,1,3
0.29.33,388,0,1
0.29.33.29,86,1,3
0.29.34,304,0,1
0.29.34.29,64,1,3
0.29.35,82,0,1
0.29.48,151,0,1
0.30,369,1,1
0.30.22,80,0,1
0.31,1259,1,1
0.31.17,61,1,1
0.31.21,92,1,1
0.31.23,75,1,1
0.31.29,240,1,1
0.31.32,157,0,1
0.31.33,76,1,1
0.31.34,80,1,1
0.31.48,57,0,1
0.32,2989,1,1
0.32.15,127,0,1
0.32.17,93,1,1
0.32.20,57,1,1
0.32.21,190,1,1
0.32.23,96,1,1
0.32.24,98,1,1
0.32.26,86,0,1
0.32.29,671,1,1
0.32.29.21,81,1,3
0.32.29.32,144,0,2
0.32.31,226,1,1
0.32.33,202,1,1
0.32.34,216,1,1
0.32.35,67,1,1
0.32.48,169,0,1
0.33,1766,1,1
0.33.21,71,1,1
0.33.24,98,1,1
0.33.29,315,1,1
0.33.29.32,61,0,2
0.33.31,84,1,1
0.33.32,238,0,1
0.33.34,316,0,1
0.33.35,59,1,1
0.33.48,132,0,1
0.34,9998,1,1
0.34.15,606,0,1
0.34.15.34,259,0,2
0.34.15.34.15,67,0,3
0.34.17,74,1,1
0.34.20,127,1,1
0.34.21,172,1,1
0.34.23,65,1,1
0.34.24,220,1,1
0.34.26,89,1,1
0.34.28,58,1,1
0.34.29,866,1,1
0.34.29.15,59,0,2
0.34.29.32,90,0,2
0.34.29.33,105,0,2
0.34.29.34,193,0,2
0.34.31,224,1,1
0.34.32,667,1,1
0.34.32.29,89,1,3
0.34.32.34,132,1,2
0.34.33,762,1,1
0.34.33.29,83,1,3
0.34.33.32,70,0,2
0.34.33.34,323,0,2
0.34.35,506,0,1
0.34.35.34,118,0,2
0.34.35.48,78,0,2
0.34.38,135,1,1
0.34.39,89,0,1
0.34.40,191,1,1
0.34.42,66,0,1
0.34.44,306,1,1
0.34.44.34,72,0,2
0.34.44.48,61,0,2
0.34.45,322,1,1
0.34.45.34,78,0,2
0.34.45.48,80,0,2
0.34.47,169,0,1
0.34.48,2051,0,1
0.34.48.29,58,1,3
0.34.48.32,77,1,3
0.34.48.34,725,1,3
0.34.48.34.48,211,0,2
0.34.48.34.48.34,79,1,3
0.34.48.35,93,1,3
0.34.48.44,79,1,3
0.34.48.45,75,1,3
0.35,2642,1,1
0.35.12,73,0,1
0.35.15,59,1,1
0.35.24,57,1,1
0.35.26,110,1,1
0.35.29,147,1,1
0.35.32,88,1,1
0.35.33,77,1,1
0.35.34,291,0,1
0.35.34.48,60,0,2
0.35.40,60,0,1
0.35.47,81,0,1
0.35.48,390,0,1
0.35.48.35,85,1,3
0.36,585,1,1
0.36.48,230,0,1
0.37,126,1,1
0.38,1066,1,1
0.38.34,132,0,1
0.38.44,80,0,1
0.38.48,377,0,1
0.38.48.38,66,1,3
0.39,1392,1,1
0.39.34,104,1,1
0.39.40,77,0,1
0.39.42,95,0,1
0.39.44,157,1,1
0.39.45,73,1,1
0.39.48,415,0,1
0.39.48.39,56,0,2
0.40,2667,1,1
0.40.24,188,1,1
0.40.29,60,1,1
0.40.34,152,0,1
0.40.35,99,0,1
0.40.42,147,0,1
0.40.42.40,58,1,3
0.40.44,241,0,1
0.40.44.40,63,1,3
0.40.45,211,0,1
0.40.47,159,0,1
0.40.48,549,0,1
0.40.48.40,144,1,3
0.41,161,1,1
0.42,1707,1,1
0.42.34,82,1,1
0.42.40,190,1,1
0.42.44,79,1,1
0.42.45,57,1,1
0.42.47,60,1,1
0.42.48,607,0,1
0.42.48.42,236,1,3
0.42.48.42.48,104,0,2
0.43,139,1,1
0.43.48,56,0,1
0.44,2189,1,1
0.44.24,124,1,1
0.44.34,201,0,1
0.44.34.48,57,0,2
0.44.35,73,1,1
0.44.39,93,0,1
0.44.40,214,1,1
0.44.42,67,0,1
0.44.45,293,0,1
0.44.45.44,65,0,2
0.44.45.48,81,0,2
0.44.48,572,0,1
0.44.48.44,97,1,3
0.44.48.45,66,1,3
0.45,1972,1,1
0.45.24,93,1,1
0.45.34,203,0,1
0.45.35,66,1,1
0.45.40,177,1,1
0.45.44,325,0,1
0.45.44.45,88,0,3
0.45.44.48,73,0,2
0.45.48,571,0,1
0.45.48.44,62,1,3
0.45.48.45,103,1,3
0.46,259,1,1
0.46.48,62,0,1
0.47,789,1,1
0.47.34,63,0,1
0.47.48,152,0,1
0.48,9577,1,1
0.48.15,130,1,1
0.48.17,89,1,1
0.48.20,57,1,1
0.48.24,248,1,1
0.48.28,88,1,1
0.48.29,312,1,1
0.48.31,104,1,1
0.48.32,285,1,1
0.48.32.48,70,0,2
0.48.33,146,1,1
0.48.34,1068,1,1
0.48.34.29,66,1,3
0.48.34.48,394,0,2
0.48.34.48.34,107,1,3
0.48.35,502,1,1
0.48.35.48,199,0,2
0.48.36,196,0,1
0.48.36.48,122,0,2
0.48.37,87,0,1
0.48.38,239,1,1
0.48.38.48,127,0,2
0.48.39,191,0,1
0.48.39.48,77,0,3
0.48.40,494,1,1
0.48.40.44,58,0,2
0.48.40.48,177,0,2
0.48.42,481,1,1
0.48.42.48,262,0,2
0.48.42.48.42,70,1,3
0.48.43,125,0,1
0.48.43.48,74,0,2
0.48.44,630,1,1
0.48.44.45,70,0,2
0.48.44.48,253,0,2
0.48.45,626,1,1
0.48.45.44,72,0,2
0.48.45.48,269,0,2
0.48.46,98,1,1
0.48.47,356,0,1
0.48.47.48,120,0,2
