id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,gender_dom,relevant_wagedif_norm,wage_sign,wagegap
15.23,164,,,,,,,,,0
15.24,255,,,,,,,,,0
15.24.15,58,,,,,,,,,0
15.29,548,,,,,,,,,0
15.29.15,105,,,,,,,,,0
15.31,147,,,,,,,,,0
15.32,305,,,,,,,,,0
15.32.15,59,,,,,,,,,0
15.33,155,,,,,,,,,0
15.34,790,,,,,,,,,0
15.34.15,185,,,,,,,,,0
15.34.15.34,73,,,,,,,,,0
15.34.29,65,,,,,,,,,0
15.34.48,102,,,,,,,,,0
15.35,146,,,,,,,,,0
15.40,62,,,,,,,,,0
15.42,91,,,,,,,,,0
15.44,56,,,,,,,,,0
15.47,111,,,,,,,,,0
15.48,429,,,,,,,,,0
15.48.15,75,,,,,,,,,0
17,4461,,,,,,,,,0
17.15,357,,,,,,,,,0
17.15.17,75,,,,,,,,,0
17.20,73,,,,,,,,,0
17.21,177,,,,,,,,,0
17.23,334,,,,,,,,,0
17.23.17,107,,,,,,,,,0
17.24,631,,,,,,,,,0
17.24.17,248,,,,,,,,,0
17.29,188,,,,,,,,,0
17.31,84,,,,,,,,,0
17.32,113,,,,,,,,,0
17.33,61,,,,,,,,,0
17.34,62,,,,,,,,,0
17.48,72,,,,,,,,,0
18,874,,,,,,,,,0
19,256,,,,,,,,,0
20,2567,,,,,,,,,0
20.15,92,,,,,,,,,0
20.17,79,,,,,,,,,0
20.23,62,,,,,,,,,0
20.27,95,,,,,,,,,0
20.29,92,,,,,,,,,0
20.31,67,,,,,,,,,0
20.32,137,,,,,,,,,0
20.34,91,,,,,,,,,0
20.48,76,,,,,,,,,0
21,4728,,,,,,,,,0
21.15,443,,,,,,,,,0
21.15.21,70,,,,,,,,,0
21.17,167,,,,,,,,,0
21.20,61,,,,,,,,,0
21.23,413,,,,,,,,,0
21.23.21,100,,,,,,,,,0
21.24,118,,,,,,,,,0
21.29,1159,,,,,,,,,0
21.29.15,81,,,,,,,,,0
21.29.21,254,,,,,,,,,0
21.29.23,93,,,,,,,,,0
21.29.32,83,,,,,,,,,0
21.31,157,,,,,,,,,0
21.32,330,,,,,,,,,0
21.32.29,77,,,,,,,,,0
21.33,119,,,,,,,,,0
21.34,193,,,,,,,,,0
21.48,94,,,,,,,,,0
22,1026,,,,,,,,,0
22.21,59,,,,,,,,,0
22.29,75,,,,,,,,,0
22.30,87,,,,,,,,,0
23,3136,,,,,,,,,0
23.14,136,,,,,,,,,0
23.15,181,,,,,,,,,0
23.17,250,,,,,,,,,0
23.21,358,,,,,,,,,0
23.21.23,64,,,,,,,,,0
23.24,80,,,,,,,,,0
23.29,354,,,,,,,,,0
23.29.23,59,,,,,,,,,0
23.31,129,,,,,,,,,0
23.32,139,,,,,,,,,0
23.33,58,,,,,,,,,0
24,6281,,,,,,,,,0
24.15,370,,,,,,,,,0
24.15.24,69,,,,,,,,,0
24.17,1349,,,,,,,,,0
24.17.15,88,,,,,,,,,0
24.17.23,61,,,,,,,,,0
24.17.24,245,,,,,,,,,0
24.17.24.17,95,,,,,,,,,0
24.20,62,,,,,,,,,0
24.21,132,,,,,,,,,0
24.23,126,,,,,,,,,0
24.29,379,,,,,,,,,0
24.31,189,,,,,,,,,0
24.32,286,,,,,,,,,0
24.33,178,,,,,,,,,0
24.34,253,,,,,,,,,0
24.35,139,,,,,,,,,0
24.40,319,,,,,,,,,0
24.40.24,59,,,,,,,,,0
24.42,92,,,,,,,,,0
24.43,80,,,,,,,,,0
24.44,221,,,,,,,,,0
24.45,158,,,,,,,,,0
24.46,59,,,,,,,,,0
24.47,92,,,,,,,,,0
24.48,482,,,,,,,,,0
24.48.24,71,,,,,,,,,0
26,1814,,,,,,,,,0
26.18,104,,,,,,,,,0
26.21,65,,,,,,,,,0
26.28,65,,,,,,,,,0
26.29,147,,,,,,,,,0
26.31,65,,,,,,,,,0
26.32,202,,,,,,,,,0
26.33,63,,,,,,,,,0
26.34,99,,,,,,,,,0
26.35,84,,,,,,,,,0
26.48,93,,,,,,,,,0
27,700,,,,,,,,,0
27.20,145,,,,,,,,,0
27.32,61,,,,,,,,,0
27.48,85,,,,,,,,,0
28,1291,,,,,,,,,0
28.19,60,,,,,,,,,0
28.20,79,,,,,,,,,0
28.23,56,,,,,,,,,0
28.26,77,,,,,,,,,0
28.29,82,,,,,,,,,0
28.32,73,,,,,,,,,0
28.34,59,,,,,,,,,0
28.35,80,,,,,,,,,0
28.48,168,,,,,,,,,0
29,11877,,,,,,,,,0
29.15,839,,,,,,,,,0
29.15.29,139,,,,,,,,,0
29.17,239,,,,,,,,,0
29.20,124,,,,,,,,,0
29.21,1417,,,,,,,,,0
29.21.15,113,,,,,,,,,0
29.21.23,117,,,,,,,,,0
29.21.29,350,,,,,,,,,0
29.21.29.21,82,,,,,,,,,0
29.21.32,89,,,,,,,,,0
29.22,75,,,,,,,,,0
29.23,571,,,,,,,,,0
29.23.21,65,,,,,,,,,0
29.23.29,87,,,,,,,,,0
29.24,386,,,,,,,,,0
29.24.17,59,,,,,,,,,0
29.26,103,,,,,,,,,0
29.28,91,,,,,,,,,0
29.31,709,,,,,,,,,0
29.31.29,171,,,,,,,,,0
29.31.32,86,,,,,,,,,0
29.32,1551,,,,,,,,,0
29.32.15,76,,,,,,,,,0
29.32.21,88,,,,,,,,,0
29.32.29,381,,,,,,,,,0
29.32.29.32,70,,,,,,,,,0
29.32.31,101,,,,,,,,,0
29.32.33,93,,,,,,,,,0
29.32.34,69,,,,,,,,,0
29.33,1098,,,,,,,,,0
29.33.15,60,,,,,,,,,0
29.33.29,230,,,,,,,,,0
29.33.32,106,,,,,,,,,0
29.33.34,110,,,,,,,,,0
29.34,1072,,,,,,,,,0
29.34.15,89,,,,,,,,,0
29.34.29,178,,,,,,,,,0
29.34.32,90,,,,,,,,,0
29.34.33,91,,,,,,,,,0
29.34.48,124,,,,,,,,,0
29.35,263,,,,,,,,,0
29.40,87,,,,,,,,,0
29.44,63,,,,,,,,,0
29.45,65,,,,,,,,,0
29.47,172,,,,,,,,,0
29.48,676,,,,,,,,,0
29.48.29,84,,,,,,,,,0
29.48.34,91,,,,,,,,,0
30,955,,,,,,,,,0
30.22,175,,,,,,,,,0
30.29,76,,,,,,,,,0
30.32,70,,,,,,,,,0
30.48,71,,,,,,,,,0
31,4710,,,,,,,,,0
31.15,188,,,,,,,,,0
31.17,157,,,,,,,,,0
31.20,81,,,,,,,,,0
31.21,231,,,,,,,,,0
31.23,298,,,,,,,,,0
31.24,167,,,,,,,,,0
31.26,58,,,,,,,,,0
31.29,803,,,,,,,,,0
31.29.21,92,,,,,,,,,0
31.29.31,69,,,,,,,,,0
31.29.32,109,,,,,,,,,0
31.32,597,,,,,,,,,0
31.32.29,101,,,,,,,,,0
31.32.31,73,,,,,,,,,0
31.33,273,,,,,,,,,0
31.34,266,,,,,,,,,0
31.35,131,,,,,,,,,0
31.48,264,,,,,,,,,0
32,9049,,,,,,,,,0
32.15,449,,,,,,,,,0
32.15.32,76,,,,,,,,,0
32.17,213,,,,,,,,,0
32.20,183,,,,,,,,,0
32.21,482,,,,,,,,,0
32.21.29,113,,,,,,,,,0
32.22,74,,,,,,,,,0
32.23,299,,,,,,,,,0
32.24,310,,,,,,,,,0
32.26,269,,,,,,,,,0
32.26.32,76,,,,,,,,,0
32.27,62,,,,,,,,,0
32.28,97,,,,,,,,,0
32.29,1758,,,,,,,,,0
32.29.15,93,,,,,,,,,0
32.29.21,156,,,,,,,,,0
32.29.23,83,,,,,,,,,0
32.29.31,118,,,,,,,,,0
32.29.32,333,,,,,,,,,0
32.29.32.29,77,,,,,,,,,0
32.29.33,116,,,,,,,,,0
32.29.34,63,,,,,,,,,0
32.29.48,57,,,,,,,,,0
32.31,736,,,,,,,,,0
32.31.29,109,,,,,,,,,0
32.31.32,143,,,,,,,,,0
32.33,677,,,,,,,,,0
32.33.29,118,,,,,,,,,0
32.33.32,133,,,,,,,,,0
32.33.34,68,,,,,,,,,0
32.34,733,,,,,,,,,0
32.34.15,58,,,,,,,,,0
32.34.29,71,,,,,,,,,0
32.34.32,122,,,,,,,,,0
32.34.33,64,,,,,,,,,0
32.34.48,97,,,,,,,,,0
32.35,260,,,,,,,,,0
32.39,70,,,,,,,,,0
32.44,79,,,,,,,,,0
32.45,73,,,,,,,,,0
32.47,60,,,,,,,,,0
32.48,749,,,,,,,,,0
32.48.32,166,,,,,,,,,0
32.48.34,75,,,,,,,,,0
33,6139,,,,,,,,,0
33.15,242,,,,,,,,,0
33.17,120,,,,,,,,,0
33.20,79,,,,,,,,,0
33.21,221,,,,,,,,,0
33.21.29,58,,,,,,,,,0
33.23,124,,,,,,,,,0
33.24,251,,,,,,,,,0
33.26,73,,,,,,,,,0
33.29,1019,,,,,,,,,0
33.29.21,74,,,,,,,,,0
33.29.31,59,,,,,,,,,0
33.29.32,143,,,,,,,,,0
33.29.33,141,,,,,,,,,0
33.29.34,57,,,,,,,,,0
33.31,294,,,,,,,,,0
33.31.29,61,,,,,,,,,0
33.32,757,,,,,,,,,0
33.32.29,122,,,,,,,,,0
33.32.31,63,,,,,,,,,0
33.32.33,102,,,,,,,,,0
33.34,1188,,,,,,,,,0
33.34.15,87,,,,,,,,,0
33.34.29,131,,,,,,,,,0
33.34.32,87,,,,,,,,,0
33.34.33,159,,,,,,,,,0
33.34.33.34,63,,,,,,,,,0
33.34.48,185,,,,,,,,,0
33.35,234,,,,,,,,,0
33.44,70,,,,,,,,,0
33.45,87,,,,,,,,,0
33.48,465,,,,,,,,,0
33.48.34,75,,,,,,,,,0
34,16787,,,,,,,,,0
34.15,1244,,,,,,,,,0
34.15.29,87,,,,,,,,,0
34.15.34,469,,,,,,,,,0
34.15.34.15,128,,,,,,,,,0
34.15.34.15.34,58,,,,,,,,,0
34.15.34.48,61,,,,,,,,,0
34.15.48,103,,,,,,,,,0
34.17,140,,,,,,,,,0
34.20,206,,,,,,,,,0
34.21,301,,,,,,,,,0
34.21.29,71,,,,,,,,,0
34.22,72,,,,,,,,,0
34.23,113,,,,,,,,,0
34.24,410,,,,,,,,,0
34.24.34,62,,,,,,,,,0
34.26,158,,,,,,,,,0
34.27,59,,,,,,,,,0
34.28,117,,,,,,,,,0
34.29,1673,,,,,,,,,0
34.29.15,105,,,,,,,,,0
34.29.21,87,,,,,,,,,0
34.29.31,68,,,,,,,,,0
34.29.32,158,,,,,,,,,0
34.29.33,180,,,,,,,,,0
34.29.34,341,,,,,,,,,0
34.29.48,104,,,,,,,,,0
34.30,80,,,,,,,,,0
34.31,432,,,,,,,,,0
34.31.29,58,,,,,,,,,0
34.31.34,63,,,,,,,,,0
34.32,1241,,,,,,,,,0
34.32.29,168,,,,,,,,,0
34.32.31,77,,,,,,,,,0
34.32.33,87,,,,,,,,,0
34.32.34,214,,,,,,,,,0
34.32.48,98,,,,,,,,,0
34.33,1321,,,,,,,,,0
34.33.29,148,,,,,,,,,0
34.33.32,120,,,,,,,,,0
34.33.34,494,,,,,,,,,0
34.33.34.33,56,,,,,,,,,0
34.33.34.48,83,,,,,,,,,0
34.33.48,92,,,,,,,,,0
34.35,968,,,,,,,,,0
34.35.34,190,,,,,,,,,0
34.35.48,175,,,,,,,,,0
34.36,88,,,,,,,,,0
34.38,268,,,,,,,,,0
34.38.34,81,,,,,,,,,0
34.38.48,73,,,,,,,,,0
34.39,180,,,,,,,,,0
34.40,395,,,,,,,,,0
34.40.34,62,,,,,,,,,0
34.40.48,71,,,,,,,,,0
34.42,191,,,,,,,,,0
34.44,623,,,,,,,,,0
34.44.34,131,,,,,,,,,0
34.44.45,87,,,,,,,,,0
34.44.48,142,,,,,,,,,0
34.45,646,,,,,,,,,0
34.45.34,133,,,,,,,,,0
34.45.44,82,,,,,,,,,0
34.45.48,161,,,,,,,,,0
34.46,75,,,,,,,,,0
34.47,454,,,,,,,,,0
34.47.34,66,,,,,,,,,0
34.47.48,100,,,,,,,,,0
34.48,4259,,,,,,,,,0
34.48.15,94,,,,,,,,,0
34.48.29,149,,,,,,,,,0
34.48.32,159,,,,,,,,,0
34.48.33,94,,,,,,,,,0
34.48.34,1325,,,,,,,,,0
34.48.34.35,56,,,,,,,,,0
34.48.34.48,389,,,,,,,,,0
34.48.34.48.34,148,,,,,,,,,0
34.48.34.48.34.48,60,,,,,,,,,0
34.48.35,213,,,,,,,,,0
34.48.35.48,67,,,,,,,,,0
34.48.38,63,,,,,,,,,0
34.48.40,83,,,,,,,,,0
34.48.42,77,,,,,,,,,0
34.48.44,182,,,,,,,,,0
34.48.45,188,,,,,,,,,0
34.48.45.48,63,,,,,,,,,0
34.48.47,160,,,,,,,,,0
35,7391,,,,,,,,,0
35.12,172,,,,,,,,,0
35.15,168,,,,,,,,,0
35.17,67,,,,,,,,,0
35.18,65,,,,,,,,,0
35.20,96,,,,,,,,,0
35.21,62,,,,,,,,,0
35.24,167,,,,,,,,,0
35.26,218,,,,,,,,,0
35.28,98,,,,,,,,,0
35.29,338,,,,,,,,,0
35.30,108,,,,,,,,,0
35.31,121,,,,,,,,,0
35.32,249,,,,,,,,,0
35.33,228,,,,,,,,,0
35.34,746,,,,,,,,,0
35.34.35,105,,,,,,,,,0
35.34.48,154,,,,,,,,,0
35.40,184,,,,,,,,,0
35.42,122,,,,,,,,,0
35.44,177,,,,,,,,,0
35.45,160,,,,,,,,,0
35.47,309,,,,,,,,,0
35.48,1475,,,,,,,,,0
35.48.34,151,,,,,,,,,0
35.48.34.48,62,,,,,,,,,0
35.48.35,298,,,,,,,,,0
35.48.35.48,109,,,,,,,,,0
35.48.44,63,,,,,,,,,0
35.48.47,70,,,,,,,,,0
36,1537,,,,,,,,,0
36.34,88,,,,,,,,,0
36.40,60,,,,,,,,,0
36.44,58,,,,,,,,,0
36.45,56,,,,,,,,,0
36.47,95,,,,,,,,,0
36.48,678,,,,,,,,,0
36.48.36,108,,,,,,,,,0
36.48.36.48,71,,,,,,,,,0
37,437,,,,,,,,,0
37.48,206,,,,,,,,,0
38,2244,,,,,,,,,0
38.34,276,,,,,,,,,0
38.34.38,68,,,,,,,,,0
38.34.48,72,,,,,,,,,0
38.40,82,,,,,,,,,0
38.42,58,,,,,,,,,0
38.44,205,,,,,,,,,0
38.44.48,70,,,,,,,,,0
38.45,124,,,,,,,,,0
38.47,78,,,,,,,,,0
38.48,928,,,,,,,,,0
38.48.34,65,,,,,,,,,0
38.48.38,158,,,,,,,,,0
38.48.38.48,86,,,,,,,,,0
38.48.44,80,,,,,,,,,0
38.48.45,64,,,,,,,,,0
39,2682,,,,,,,,,0
39.24,58,,,,,,,,,0
39.29,61,,,,,,,,,0
39.32,75,,,,,,,,,0
39.34,206,,,,,,,,,0
39.35,101,,,,,,,,,0
39.38,56,,,,,,,,,0
39.40,158,,,,,,,,,0
39.42,170,,,,,,,,,0
39.44,299,,,,,,,,,0
39.44.48,72,,,,,,,,,0
39.45,141,,,,,,,,,0
39.47,63,,,,,,,,,0
39.48,834,,,,,,,,,0
39.48.34,57,,,,,,,,,0
39.48.39,98,,,,,,,,,0
39.48.44,91,,,,,,,,,0
40,6298,,,,,,,,,0
40.15,116,,,,,,,,,0
40.17,136,,,,,,,,,0
40.24,469,,,,,,,,,0
40.24.17,57,,,,,,,,,0
40.24.40,98,,,,,,,,,0
40.29,126,,,,,,,,,0
40.32,88,,,,,,,,,0
40.34,357,,,,,,,,,0
40.34.40,60,,,,,,,,,0
40.34.48,82,,,,,,,,,0
40.35,218,,,,,,,,,0
40.36,70,,,,,,,,,0
40.38,56,,,,,,,,,0
40.39,107,,,,,,,,,0
40.42,446,,,,,,,,,0
40.42.40,128,,,,,,,,,0
40.42.48,99,,,,,,,,,0
40.43,69,,,,,,,,,0
40.44,711,,,,,,,,,0
40.44.40,167,,,,,,,,,0
40.44.45,71,,,,,,,,,0
40.44.48,154,,,,,,,,,0
40.45,590,,,,,,,,,0
40.45.40,90,,,,,,,,,0
40.45.44,63,,,,,,,,,0
40.45.48,143,,,,,,,,,0
40.46,95,,,,,,,,,0
40.47,369,,,,,,,,,0
40.47.48,84,,,,,,,,,0
40.48,1579,,,,,,,,,0
40.48.34,88,,,,,,,,,0
40.48.35,61,,,,,,,,,0
40.48.40,389,,,,,,,,,0
40.48.40.48,117,,,,,,,,,0
40.48.40.48.40,56,,,,,,,,,0
40.48.42,123,,,,,,,,,0
40.48.44,131,,,,,,,,,0
40.48.45,103,,,,,,,,,0
40.48.47,90,,,,,,,,,0
41,492,,,,,,,,,0
41.48,141,,,,,,,,,0
42,4058,,,,,,,,,0
42.15,126,,,,,,,,,0
42.24,140,,,,,,,,,0
42.34,186,,,,,,,,,0
42.35,136,,,,,,,,,0
42.39,86,,,,,,,,,0
42.40,492,,,,,,,,,0
42.40.42,120,,,,,,,,,0
42.40.48,100,,,,,,,,,0
42.43,73,,,,,,,,,0
42.44,199,,,,,,,,,0
42.45,140,,,,,,,,,0
42.47,180,,,,,,,,,0
42.48,1613,,,,,,,,,0
42.48.34,63,,,,,,,,,0
42.48.40,86,,,,,,,,,0
42.48.42,494,,,,,,,,,0
42.48.42.48,216,,,,,,,,,0
42.48.42.48.42,77,,,,,,,,,0
42.48.44,91,,,,,,,,,0
42.48.45,57,,,,,,,,,0
42.48.47,82,,,,,,,,,0
43,1005,,,,,,,,,0
43.40,56,,,,,,,,,0
43.42,72,,,,,,,,,0
43.48,378,,,,,,,,,0
44,7001,,,,,,,,,0
44.15,83,,,,,,,,,0
44.24,418,,,,,,,,,0
44.24.44,84,,,,,,,,,0
44.29,105,,,,,,,,,0
44.32,103,,,,,,,,,0
44.33,68,,,,,,,,,0
44.34,562,,,,,,,,,0
44.34.44,61,,,,,,,,,0
44.34.48,158,,,,,,,,,0
44.35,223,,,,,,,,,0
44.35.48,60,,,,,,,,,0
44.36,66,,,,,,,,,0
44.38,139,,,,,,,,,0
44.38.48,58,,,,,,,,,0
44.39,220,,,,,,,,,0
44.39.48,59,,,,,,,,,0
44.40,708,,,,,,,,,0
44.40.44,138,,,,,,,,,0
44.40.45,80,,,,,,,,,0
44.40.48,124,,,,,,,,,0
44.42,201,,,,,,,,,0
44.42.48,61,,,,,,,,,0
44.43,68,,,,,,,,,0
44.45,1025,,,,,,,,,0
44.45.34,73,,,,,,,,,0
44.45.40,62,,,,,,,,,0
44.45.44,192,,,,,,,,,0
44.45.48,311,,,,,,,,,0
44.45.48.45,78,,,,,,,,,0
44.46,122,,,,,,,,,0
44.47,270,,,,,,,,,0
44.47.48,72,,,,,,,,,0
44.48,2163,,,,,,,,,0
44.48.34,138,,,,,,,,,0
44.48.35,73,,,,,,,,,0
44.48.40,138,,,,,,,,,0
44.48.42,84,,,,,,,,,0
44.48.44,367,,,,,,,,,0
44.48.44.48,147,,,,,,,,,0
44.48.45,257,,,,,,,,,0
44.48.45.48,105,,,,,,,,,0
44.48.47,106,,,,,,,,,0
45,6121,,,,,,,,,0
45.15,61,,,,,,,,,0
45.24,285,,,,,,,,,0
45.29,123,,,,,,,,,0
45.32,129,,,,,,,,,0
45.33,95,,,,,,,,,0
45.34,612,,,,,,,,,0
45.34.45,82,,,,,,,,,0
45.34.48,178,,,,,,,,,0
45.35,205,,,,,,,,,0
45.38,97,,,,,,,,,0
45.39,98,,,,,,,,,0
45.40,515,,,,,,,,,0
45.40.44,64,,,,,,,,,0
45.40.45,82,,,,,,,,,0
45.40.48,129,,,,,,,,,0
45.42,119,,,,,,,,,0
45.44,993,,,,,,,,,0
45.44.24,56,,,,,,,,,0
45.44.40,102,,,,,,,,,0
45.44.45,250,,,,,,,,,0
45.44.45.48,70,,,,,,,,,0
45.44.48,266,,,,,,,,,0
45.46,116,,,,,,,,,0
45.47,141,,,,,,,,,0
45.48,2078,,,,,,,,,0
45.48.34,153,,,,,,,,,0
45.48.35,92,,,,,,,,,0
45.48.40,98,,,,,,,,,0
45.48.42,69,,,,,,,,,0
45.48.44,230,,,,,,,,,0
45.48.44.48,105,,,,,,,,,0
45.48.45,423,,,,,,,,,0
45.48.45.44,60,,,,,,,,,0
45.48.45.48,158,,,,,,,,,0
45.48.47,108,,,,,,,,,0
46,1259,,,,,,,,,0
46.24,60,,,,,,,,,0
46.34,75,,,,,,,,,0
46.40,96,,,,,,,,,0
46.44,126,,,,,,,,,0
46.45,73,,,,,,,,,0
46.47,80,,,,,,,,,0
46.48,313,,,,,,,,,0
47,4033,,,,,,,,,0
47.15,113,,,,,,,,,0
47.24,107,,,,,,,,,0
47.29,158,,,,,,,,,0
47.32,65,,,,,,,,,0
47.34,277,,,,,,,,,0
47.34.47,71,,,,,,,,,0
47.34.48,60,,,,,,,,,0
47.35,170,,,,,,,,,0
47.40,216,,,,,,,,,0
47.40.47,57,,,,,,,,,0
47.42,123,,,,,,,,,0
47.44,179,,,,,,,,,0
47.45,90,,,,,,,,,0
47.46,61,,,,,,,,,0
47.48,1049,,,,,,,,,0
47.48.44,63,,,,,,,,,0
47.48.47,317,,,,,,,,,0
47.48.47.48,105,,,,,,,,,0
48,22642,,,,,,,,,0
48.13,63,,,,,,,,,0
48.15,484,,,,,,,,,0
48.15.48,124,,,,,,,,,0
48.17,163,,,,,,,,,0
48.20,153,,,,,,,,,0
48.21,99,,,,,,,,,0
48.22,76,,,,,,,,,0
48.23,66,,,,,,,,,0
48.24,665,,,,,,,,,0
48.24.17,64,,,,,,,,,0
48.24.48,154,,,,,,,,,0
48.26,137,,,,,,,,,0
48.27,104,,,,,,,,,0
48.28,258,,,,,,,,,0
48.28.48,76,,,,,,,,,0
48.29,914,,,,,,,,,0
48.29.32,73,,,,,,,,,0
48.29.33,64,,,,,,,,,0
48.29.34,78,,,,,,,,,0
48.29.48,166,,,,,,,,,0
48.30,66,,,,,,,,,0
48.31,386,,,,,,,,,0
48.31.48,83,,,,,,,,,0
48.32,950,,,,,,,,,0
48.32.29,81,,,,,,,,,0
48.32.31,72,,,,,,,,,0
48.32.34,67,,,,,,,,,0
48.32.48,205,,,,,,,,,0
48.33,462,,,,,,,,,0
48.33.34,83,,,,,,,,,0
48.33.48,80,,,,,,,,,0
48.34,3345,,,,,,,,,0
48.34.15,132,,,,,,,,,0
48.34.29,157,,,,,,,,,0
48.34.32,107,,,,,,,,,0
48.34.33,115,,,,,,,,,0
48.34.35,144,,,,,,,,,0
48.34.44,90,,,,,,,,,0
48.34.45,116,,,,,,,,,0
48.34.47,104,,,,,,,,,0
48.34.48,1132,,,,,,,,,0
48.34.48.34,317,,,,,,,,,0
48.34.48.34.48,120,,,,,,,,,0
48.34.48.35,62,,,,,,,,,0
48.35,1548,,,,,,,,,0
48.35.34,108,,,,,,,,,0
48.35.47,63,,,,,,,,,0
48.35.48,560,,,,,,,,,0
48.35.48.35,113,,,,,,,,,0
48.36,524,,,,,,,,,0
48.36.48,308,,,,,,,,,0
48.37,194,,,,,,,,,0
48.37.48,113,,,,,,,,,0
48.38,636,,,,,,,,,0
48.38.48,334,,,,,,,,,0
48.38.48.38,66,,,,,,,,,0
48.39,530,,,,,,,,,0
48.39.48,196,,,,,,,,,0
48.40,1447,,,,,,,,,0
48.40.42,79,,,,,,,,,0
48.40.44,145,,,,,,,,,0
48.40.45,103,,,,,,,,,0
48.40.47,68,,,,,,,,,0
48.40.48,484,,,,,,,,,0
48.40.48.40,138,,,,,,,,,0
48.41,111,,,,,,,,,0
48.42,1458,,,,,,,,,0
48.42.40,90,,,,,,,,,0
48.42.48,713,,,,,,,,,0
48.42.48.42,201,,,,,,,,,0
48.42.48.42.48,84,,,,,,,,,0
48.43,370,,,,,,,,,0
48.43.48,192,,,,,,,,,0
48.44,1950,,,,,,,,,0
48.44.24,59,,,,,,,,,0
48.44.34,81,,,,,,,,,0
48.44.40,125,,,,,,,,,0
48.44.45,218,,,,,,,,,0
48.44.45.48,69,,,,,,,,,0
48.44.47,73,,,,,,,,,0
48.44.48,758,,,,,,,,,0
48.44.48.44,129,,,,,,,,,0
48.44.48.45,84,,,,,,,,,0
48.45,1887,,,,,,,,,0
48.45.34,112,,,,,,,,,0
48.45.40,89,,,,,,,,,0
48.45.44,240,,,,,,,,,0
48.45.44.48,78,,,,,,,,,0
48.45.48,734,,,,,,,,,0
48.45.48.44,78,,,,,,,,,0
48.45.48.45,151,,,,,,,,,0
48.45.48.45.48,60,,,,,,,,,0
48.46,337,,,,,,,,,0
48.46.48,131,,,,,,,,,0
48.47,1417,,,,,,,,,0
48.47.44,59,,,,,,,,,0
48.47.48,449,,,,,,,,,0
48.47.48.47,128,,,,,,,,,0
